Accession	Name	Description
ARO:3000209	antibiotic resistant DNA topoisomerase subunit parY	ParY is part of a topoisomerase IV that is resistant to antibiotics that affect other topoisomerases.
ARO:3000210	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	Rifampin resistant RNA polymerases include amino acids substitutions which disrupt the affinity of rifampin for its binding site. These mutations are frequently concentrated in the rif I region of the beta-subunit and most often involve amino acids which make direct interactions with rifampin. However, mutations which also confer resistance can occur outside this region and may involve amino acids which do not directly make contact with rifampin.
ARO:3000211	ribosomal alteration conferring antibiotic resistance	Chemical alteration of the ribosome results in modification of an antibiotic's target leading to resistance.
ARO:3000212	mutation conferring antibiotic resistance	Point mutations in the DNA may lead to an altered gene product that may result in antibiotic resistance. Examples included modified antibiotic targets with lower binding affinities and the deactivation of repressors that result in increased expression of genes that inactivate or pump out antibiotics.
ARO:3000213	restructuring of bacterial cell wall conferring antibiotic resistance	Peptidoglycan precursors ending in D-Ala-D-Lac or D-Ala-D-Ser instead of D-Ala-D-Ala conferring high level glycopeptide resistance.
ARO:3000214	hygromycin B	Hygromycin B is an aminoglycoside antibiotic used to treat different types of bacterial infections. Hygromycin B works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth. Hygromycin B has also been shown to interact with eukaryotic cells.
ARO:3000215	mecR1	mecR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the mecA/mecR1/mecI operon.
ARO:3000216	acrB	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.
ARO:3000217	blaR1	blaR1 is a transmembrane spanning and signal transducing protein which in response to interaction with beta-lactam antibiotics results in upregulation of the blaZ/blaR1/blaI operon.
ARO:3000218	aminoglycoside nucleotidyltransferase (ANT)	Covalent modification of aminoglycoside antibiotic hydroxyl group by ATP-dependent transfer of AMP.
ARO:3000219	mutant efflux regulatory protein conferring antibiotic resistance	Efflux regulatory proteins with mutations that result in increased expression of efflux proteins.
ARO:3000220	antibiotic resistant DNA topoisomerase subunit gyrB	Point mutations in gyrB confer antibiotic resistance by preventing drugs from binding the beta-subunit of gyrase, essential for DNA supercoiling.
ARO:3000221	lincosamide nucleotidyltransferase (LNU)	Resistance to the lincosamide antibiotic by ATP-dependent modification of the 3' and/or 4'-hydroxyl groups of the methylthiolincosamide sugar.
ARO:3000222	gramicidin A	Gramicidin A is the most abundant (more than 80%) of the three gramicidins in gramicidin D, with a tryptophan in position 11. Gramicidins form dimers in the bacterial membrane that increase the permeability of cations.
ARO:3000223	gramicidin B	Gramicidin B is one of the three gramicidins in gramicidin D, with a phenylalanine in position 11. It is structurally similar to gramicidin A, but its ability to induce the assembly of bilayers is reduced. Gramicidins form dimers in the bacterial membrane that increase the permeability of cations.
ARO:3000224	gramicidin C	Gramicidin C is one of the three gramicidins in gramicidin D, with a tyrosine in position 11. It is structurally similar to gramicidin A, but its ability to induce the assembly of bilayers is reduced. Gramicidins form dimers in the bacterial membrane that increase the permeability of cations.
ARO:3000225	ANT(6)	Nucelotidylylation of streptomycin at the hydroxyl group at position 6
ARO:3000226	antibiotic resistant folP	Point mutations in dihydropteroate synthase folP prevent sulfonamide antibiotics from inhibiting its role in folate synthesis, thus conferring sulfonamide resistance.
ARO:3000227	tyrothricin	Tyrothricin is a mixture of antibiotics including tyrocidines and gramicidins, isolated from Bacillus brevis.
ARO:3000228	ANT(9)	Nucleotidylylation of spectinomycin at the hydroxyl group at position 9
ARO:3000229	ANT(4')	Nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 4'
ARO:3000230	ANT(2'')-Ia	Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa, K. pneumoniae, Morganella morganii, E. coli, S. typhimurium, C. freundii and A. baumannii
ARO:3000231	beta-lactam resistance operon	An operon conferring resistance to beta-lactam antibiotics.
ARO:3000232	ANT(3'')-Ia	Nucleotidylylation of streptomycin at the hydroxyl group at position 3''
ARO:3000233	streptogramin inactivation enzyme	Resistance to streptogramin antibiotics may be conferred through enzymatic inactivation. There are two known mechanisms of streptogramin inactivation shown clinically to confer resistance: 1) vgB lyase enzymes linearize type B streptogramin antibiotics by breaking the ester linkage; 2) vat acetyltransferase enzymes modify type A streptogramin antibiotics by transferring an acetyl group from acetyl-CoA to the secondary streptogramin hydroxyl. Both mechanisms result in antibiotic inactivation thus conferring resistance.
ARO:3000234	glycopeptide resistance gene cluster	Genes that when expressed confer resistance to vancomycin and teicoplanin type antibiotics.
ARO:3000235	ethambutol resistant embB	embB gene encodes for an arabinosyl transferase in the arabinogalactan synthesis pathway. It is inhibited by ethambutol. Mutations within the ERDR region of embB confers resistance to ethambutol.
ARO:3000236	glycopeptide resistance gene cluster VanA	This inducible cluster confers high resistance to both vancomycin and teicoplanin by allowing restructuring of peptidoglycan precursors to end in D-Ala-D-Lac. The vanA gene cluster can be located either on plasmids or on the chromosome.

Gene orientation: vanRSHAXYZ
ARO:3000237	TolC	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.
ARO:3000238	glycopeptide resistance gene cluster VanB	This inducible cluster confers resistance to vancomycin but organisms remain sensitive to teicoplanin by allowing restructuring of peptidoglycan precursors to end in D-Ala-D-Lac.  Sensitivity to teicoplanin is due to lack of binding to the sensor kinase VanS. The vanB gene cluster can be located either on plasmids or on the chromosome.

Gene orientation: vanRSYWHBX
ARO:3000240	determinant of streptogramin resistance	Ezymes, other proteins or other gene products shown clinically to confer resistance to streptogramin antibiotics.
ARO:3000241	determinant of lincosamide resistance	Enzymes, other proteins or other gene products shown clinically to confer resistance to lincosamide antibiotics.
ARO:3000244	reduced permeability to antibiotic	Reduction in permeability to antibiotic, generally through reduced production of porins, can provide resistance.
ARO:3000245	RbpA	RNA-polymerase binding protein which confers resistance to rifampin.
ARO:3000246	glycopeptide resistance gene cluster VanC	Confers low vancomycin resistance by engineering peptidoglycan precursors ending in D-Ala-D-Ser in an inducible or constitutive manner.  The vanC cluster is intrinsic to the Enterococcus gallinarum chromosome. vanC organisms remain susceptible to teicoplanin. Gene orientation: vanC(XY)TRS
ARO:3000247	phosphoenolpyruvate (PEP) mutase	A tetrameric protein that converts phosphoenolpyruvate (PEP) to phosponopyruvate (Ppyr).
ARO:3000248	DnaA	DnaA is a chromosomal replication initiation protein which binds and interacts with RNA polymerase in Escherichia coli. A surplus of DnaA present in a cell has been shown to confer resistance to the antibiotic Rifampicin. Normally, rifampicin inhibits initiation of transcription by RNA polymerase, but a surplus of DnaA available at the origin has been shown to disrupt Rifampicin activity and confer resistance.
ARO:3000249	chloramphenicol phosphotransferase	ATP-dependent kinase modifies the C-3 hydroxyl group of chloramphenicol.  Source is the chloramphenicol producer Streptomyces venezuelae.
ARO:3000250	ErmC	ErmC is a methyltransferase that catalyzes the methylation of A2058 of the 23S ribosomal RNA in two steps. Expression of ErmC is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmC.
ARO:3000251	msrA	MsrA is an ABC-efflux pump expressed to Staphylococcus species that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA.
ARO:3000253	glycopeptide resistance gene cluster VanD	Homologous to vanA, contains a D-Ala-D-Lac ligase.  This cluster is constitutively expressed in the chromosome due to a dysfunctional D-ala-D-ala ligase and confers moderate resistance to both vancomycin and teicoplanin.

Gene orientation: vanRSYHDX
ARO:3000254	emrY	emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.
ARO:3000255	glycopeptide resistance gene cluster VanF	Homologous to vanA, contains a D-Ala-D-Lac ligase. The vanF gene cluster is inducible and confers high resistance to vancomycin in Paenibacillus popilliae. vanF organisms remain susceptible to teicoplanin. Gene orientation: RSYZHFX
ARO:3000256	glycopeptide resistance gene cluster VanM	Homologous to vanA, contains a D-Ala-D-Lac ligase. The plasmid-located vanM gene cluster is inducible and confers high resistance to vancomycin and teicoplanin. Gene orientation: RSYHMX
ARO:3000257	glycopeptide resistance gene cluster VanG	Contains a D-Ala-D-Ser ligase. The vanG gene cluster is inducible and confers low resistance to vancomycin. vanG organisms remain susceptible to teicoplanin. It is the only van gene cluster that contains two vanY genes.

Gene orientation: vanRSYWGYT
ARO:3000258	ErmC'	ErmC' is ErmC but without the leader peptide and therefore expression is constitutive. Originally found on the plasmid pIM13 from Bacillus subtilis. It confers the MLSb phenotype.
ARO:3000259	glycopeptide resistance gene cluster VanE	Homologous to VanC, contains a D-Ala-D-Ser ligase. The chromosome-located vanE gene cluster is inducible and confers low resistance to vancomycin. vanE organisms remain susceptible to teicoplanin. Gene orientation: E(XY)TRS
ARO:3000260	glycopeptide resistance gene cluster VanL	Homologous to VanC, contains a D-Ala-D-Ser ligase. The chromosome-located vanL gene cluster is inducible and confers low resistance to vancomycin. vanL organisms remain susceptible to teicoplanin. It is the only van gene cluster with two vanT genes.

Gene orientation: vanL(XY)TmTrRS
ARO:3000261	sigma factor conferring resistance to rifampin	When bound to different sigma factors, RNA-polymerase may possess an altered sensitivity to rifampin-mediated inhibition.
ARO:3000262	bla operon	The bla operon is composed of blaZ/blaR1/blaI.
ARO:3000263	marA	In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF.
ARO:3000264	emrE	EmrE is a small multidrug transporter that functions as a homodimer and that couples the efflux of small polyaromatic cations from the cell with the import of protons down an electrochemical gradient. EmrE is found in E. coli and P. aeruginosa.
ARO:3000265	porin OmpF	In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF.
ARO:3000266	ADP-ribosylation of antibiotic conferring resistance	The inactivation of antibiotics by the enzymatic addition of ADP-ribose from NAD+.
ARO:3000267	determinant of linezolid resistance	Enzymes, other proteins or other gene products shown clinically to confer resistance to linezolid antibiotics.
ARO:3000268	mec operon	The mec operon is composed of mecA/mecR1/mecI.
ARO:3000269	brodimoprim	Brodimoprim is a structural derivative of trimethoprim and an inhibitor of bacterial dihydrofolate reductase. The 4-methoxy group of trimethoprim is replaced with a bromine atom.
ARO:3000270	protein modulating permeability to antibiotic	Enzymes or other proteins either directly or indirectly reducing overall permeability to antibiotics.
ARO:3000271	determinant of fosfomycin resistance	Enzymes, other proteins or other gene products shown clinically to confer resistance to fosfomycin antibiotics.
ARO:3000273	antibiotic resistant DNA topoisomerase subunit gyrA	Point mutations in gyrA confer antibiotic resistance by preventing drugs from binding the alpha-subunit of gyrase, essential for DNA supercoiling.
ARO:3000274	antibiotic resistant DNA topoisomerase subunit parC	Point mutations in parC confer antibiotic resistance by preventing drugs from binding the parC subunit of topoisomerase IV, essential for DNA decatanation and relaxation.
ARO:3000276	cephem	Cephems have a six-membered dihydrothiazine ring with a sulfur atom and double bond fused with its beta-lactam ring. This group includes the cephalosporins and cephamycins, the latter containing an additional alpha-methoxy group.
ARO:3000282	sulfonamide antibiotic	Sulfonamides are broad spectrum, synthetic antibiotics that contain the sulfonamide group. Sulfonamides inhibit dihydropteroate synthase, which catalyzes the conversion of p-aminobenzoic acid to dihydropteroic acid as part of the tetrahydrofolic acid biosynthetic pathway. Tetrahydrofolic acid is essential for folate synthesis, a precursor of many nucleotides and amino acids. Many sulfamides are taken with trimethoprim, an inhibitor of dihydrofolate reductase, also disturbing the trihydrofolic acid synthesis pathway.
ARO:3000284	tetroxoprim	Tetroxoprim is a trimethoprim derivative that inhibits bacterial dihydrofolate reductase.
ARO:3000299	phosphonopyruvate decarboxylase	Stabilizes the C-P bond in phosphonopyruvate formed by phophoenolpyruvate mutase by catalyzing the self-removal of the carboxyl group.
ARO:3000300	lsaA	LsaA is an ABC efflux pump expressed in Enterococcus faecalis. It confers resistance to clindamycin, quinupristin-dalfopristin, and dalfopristin.
ARO:3000309	emrD	EmrD is a multidrug transporter from the Major Facilitator Superfamily (MFS) primarily found in Escherichia coli. EmrD couples efflux of amphipathic compounds with proton import across the plasma membrane.
ARO:3000315	determinant of macrolide resistance	Enzymes, other proteins or other gene products shown clinically to confer resistance to macrolide antibiotics.
ARO:3000316	mphA	The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin, telithromycin, roxithromycin) over 16-membered macrolides (e.g.tylosin, spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.
ARO:3000317	AAC(1)-I	Acetylation of paromomycin, and apramycin, on the amino group at position 1 in E. coli, Actinomycete, Campylobacter spp.
ARO:3000318	mphB	The mphB gene encodes for MPH(2')-II. This enzymes phosphorylates 14-membered and 16-membered macrolides.  It phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.
ARO:3000319	mphC	The mphC gene was identified from Staphylococcus aureus.  This gene shows similarity to mphB gene from Escherchia coli.
ARO:3000320	macrolide esterase	Hydrolytic enzymes that cleave the macrocycle lactone ring of macrolide antibiotics.
ARO:3000321	hydrolysis of macrolide macrocycle lactone ring	Hydrolysis of the the macrocycle lactone ring of macrolide antibiotics.
ARO:3000322	AAC(3)	Acetylation of the aminoglycoside antibiotic on the amino group at position 3.
ARO:3000324	sulfadiazine	Sulfadiazine is a potent inhibitor of dihydropteroate synthase, interfering with the tetrahydrofolic biosynthesis pathway. Tetrahydrofolic acid is essential for folate synthesis, a precursor to many nucleotides and amino acids.
ARO:3000325	sulfadimidine	Sulfadimidine is an alkaline sulfonamide antibiotic that inhibits dihydropteroate synthase, and enzyme in the tetrahydrofolic acid biosynthesis pathway. This interferes with the production of folate, which is a precursor to many amino acids and nucleotides.
ARO:3000326	ErmE	ErmE is a methyltransferase found in the erythromycin producer Saccharopolyspora erythraea. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the erythromycin biosynthetic cluster and is responsible for self-resistance.
ARO:3000327	sulfadoxine	Sulfadoxine is an inhibitor of dihydropteroate synthase, interfering with the tetrahydrofolic biosynthesis pathway. Tetrahydrofolic acid is essential for folate synthesis, a precursor to many nucleotides and amino acids.
ARO:3000328	rRNA with mutation conferring antibiotic resistance	Single nucleotide polymorphisms (SNPs) in rRNA can confer antibiotic resistance to drugs that target the bacterial ribosome.
ARO:3000329	sulfamethoxazole	Sulfamethoxazole is a sulfonamide antibiotic usually taken with trimethoprim, a diaminopyrimidine antibiotic. Sulfamethoxazole inhibits dihydropteroate synthase, essential to tetrahydrofolic acid biosynthesis. This pathway generates compounds used in the synthesis of many amino acids and nucleotides.
ARO:3000330	sulfisoxazole	Sulfisoxazole is an inhibitor of dihydropteroate synthase, interfering with the tetrahydrofolic biosynthesis pathway. Tetrahydrofolic acid is essential for folate synthesis, a precursor to many nucleotides and amino acids.
ARO:3000333	macrolide phosphotransferase (MPH)	Macrolide phosphotransferases (MPH) are enzymes encoded by macrolide phosphotransferase genes (mph genes). These enzymes phosphorylate macrolides in GTP dependent manner at 2'-OH of desosamine sugar thereby inactivating them. Characterized MPH's are differentiated based on their substrate specificity.
ARO:3000336	23S rRNA with mutation conferring antibiotic resistance	Point mutations in bacterial 23S rRNA from the large ribosomal subunit that confer resistance to antibiotics. Antibiotics such as linezolid block peptide synthesis through peptidyl transferase activity. Mutations in the 23S rRNA subunit reduce antibiotic binding affinity at specific sites, conferring resistance.
ARO:3000337	iclaprim	Iclaprim is a bactericidal compound that inhibits dihydrofolate reductase. It is used against clinically important Gram-positive pathogens, including methicillin-sensitive Staphylococcus aureus and methicillin-resistant S. aureus.
ARO:3000338	linearization of antibiotic conferring resistance	Genes that confer antibiotic resistance by hydrolyzing bonds to linearize and deactivate antibiotics.
ARO:3000341	AAC(2')	Acetylation of the aminoglycoside antibiotic on the amino group at position 2'.
ARO:3000342	fosfomycin inactivation enzyme	Enzymes that inactivate fosfomycin by chemical modification.
ARO:3000343	tap	Efflux pump proteins contained within Mycobacterial genomes which confer resistance to a number of different antibiotics including aminoglycosides, and tetracyclines.
ARO:3000344	EmrAB-TolC	EmrAB-TolC is a multidrug efflux system found in E. coli. EmrB is the electrochemical-gradient powered transporter; EmrA is the linker; and TolC is the outer membrane channel. It confers resistance to nalidixic acid and thiolactomycin.
ARO:3000345	AAC(6')	Acetylation of the aminoglycoside antibiotic on the amino group at position 6'.
ARO:3000346	Alignment Reference	An example polypeptide sequence used as a reference point in multiple sequence alignment and mapping of single nucleotide polymorphisms that confer antibiotic resistance (AR-SNP).
ARO:3000347	ErmA	ErmA confers the MLSb phenotype. Similar to ErmC, Expression of ErmA is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmA.
ARO:3000359	fosfomycin phosphotransferase	In the presence of ATP and magnesium (II), fosfomycin gets phosphorylated at the phosphate group resulting in a diphosphate group which inactivates the antibiotic.
ARO:3000361	EreA	EreA is an erythromycin esterase that hydrolyses the drug's lactone ring.
ARO:3000363	EreB	EreB is an erythromycin esterase-like protein that hydrolyses the drug's lactone ring.
ARO:3000366	HMM bit-score	A bit-score cut-off for significant HMM hit.
ARO:3000368	vanC	VanC is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is specific to Enterococcus gallinarum and E. casseliflavus, providing intrinsic resistance.
ARO:3000369	MtrCDE	The mtr (multiple transferable resistance) system of Neisseria gonorrhoeae confers resistance to many hydrophobic agents including antibiotics, fatty-acids and detergents. MtrCDE is homologous to AcrAB-TolC, where MtrC is the membrane fusion protein, MtrD is the inner membrane transporter, and MtrE is the outer membrane channel protein.
ARO:3000370	antibiotic resistant DNA topoisomerase subunit	Many drugs target topoisomerases to inhibit DNA synthesis. Resistant DNA topoisomerase subunits prevent antibiotic binding and thus confer resistance.
ARO:3000372	vanT	VanT is a membrane bound serine racemase, converting L-serine to D-serine. It is associated with VanC, which incorporated D-serine into D-Ala-D-Ser terminal end of peptidoglycan subunits that have a decreased binding affinity with vancomycin. It was isolated from Enterococcus gallinarum.
ARO:3000373	EmrKY-TolC	EmrKY is a homolog of EmrAB found in E. coli. Together with TolC, it is a tripartite multidrug transporter.
ARO:3000375	ErmB	ErmB confers the MLSb phenotype. Similar to ErmC, expression of ErmB is inducible by erythromycin. The leader peptide causes attenuation of the mRNA and stabilizes the structure preventing further translation. When erythromycin is present, it binds the leader peptide causing a change in conformation allowing for the expression of ErmB.
ARO:3000376	streptogramin vgb lyase	vgb (Virginiamycin B) lyase inactivates type B streptogramin antibiotics by linearizing the streptogramin lactone ring at the ester linkage through an elimination mechanism, thus conferring resistance to these compounds.
ARO:3000377	MexA	MexA is the membrane fusion protein of the MexAB-OprM multidrug efflux complex.
ARO:3000378	MexB	MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.
ARO:3000379	OprM	OprM is an outer membrane factor protein found in Pseudomonas aeruginosa and Burkholderia vietnamiensis. It is part of the MexAB-OprM, MexVW-OprM, MexXY-OprM and the AmrAB-OprM complex.
ARO:3000380	FosC	FosC is an enzyme that phosphorylates fosfomycin to confer resistance
ARO:3000381	antibiotic target replacement protein	Alternate proteins that have the same functions as other antibiotic target proteins, but are structurally different and thus resistant to antibiotics. These can replace the activity of other antibiotic-sensitive proteins in the presence of antibiotics.
ARO:3000382	azidamfenicol	Azidamfenicol is a water soluble derivative of chloramphenicol, sharing the same mode of action of inhibiting peptide synthesis by interacting with the 23S RNA of the 50S ribosomal subunit.
ARO:3000383	determinant of rifamycin resistance	Enzymes, other proteins, or other gene products shown clinically to confer resistance to rifamycin (rifampin) antibiotics.
ARO:3000384	AcrAB-TolC	AcrAB-TolC is a tripartite RND efflux system that confers resistance to tetracycline, chloramphenicol, ampicillin, nalidixic acid, and rifampin  in Gram-negative bacteria. The system spans the cell membrane (AcrB) and the outer-membrane (TolC), and is linked together in the periplasm by AcrA.
ARO:3000385	chloramphenicol	Chloramphenicol is a bacteriostatic antimicrobial originally derived from the bacterium Streptomyces venezuelae. It was the first antibiotic to be manufactured synthetically on a large scale. It functions by inhibiting peptidyl transferase activity of the bacterial ribosome, binding to A2451 and A2452 residues in the 23S rRNA of the 50S ribosomal subunit and preventing peptide bond formation.
ARO:3000386	MexAB-OprM	MexAB-OprM is a multidrug efflux protein expressed in the Gram-negative Pseudomonas aeruginosa. MexA is the membrane fusion protein; MexB is the inner membrane transporter; and OprM is the outer membrane channel. MexAB-OprM is associated with resistance to fluoroquinolones, chloramphenicol, erythromycin, azithromycin, novobiocin, and certain β-lactams and lastly over-expression is linked to colistin resistance.
ARO:3000387	phenicol antibiotic	Phenicols are broad spectrum bacteriostatic antibiotics acting on bacterial protein synthesis. More specifically, the phenicols block peptide elongation by binding to the peptidyltansferase centre of the 70S ribosome.
ARO:3000388	streptogramin biosynthesis	Biosynthesis of streptoramin antibiotics.
ARO:3000389	streptogramin B biosynthesis	Type B streptogramins are cyclic hexa- or hepta-depsipeptides produced by NRPSs in Streptomyces.  The NRPS contains 6 or 7 modules arranged on one or more genes. SnbA catalyzes the activation of the first residue, 3-hydroxypicolynic acid. SnbC then activates and incorporates threonine and aminobutyric acid. Lastly, SnbDE activates and incoporates the last four amino acids. The thioesterase domain is responsible for peptide cyclization, and it is located at the end of the assembly line.
ARO:3000390	rifampin ADP-ribosyltransferase (Arr)	Enzyme responsible for the ADP-ribosylative inactivation of rifampin at the 23-OH position using NAD+.
ARO:3000391	norA	NorA is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like acriflavine. It shares 30% similarity with NorA, and is a structural homolog of Bmr of Bacillus subtilis. It is regulated by arlRS and mgrA, the latter also known as NorR.
ARO:3000392	Erm(37)	Erm(37) is found in Mycobacterium species and confers the MLSb phenotype. In addition to methylation of A2058 this Erm methylates adjacent adenosines (A2057 and A2059) as well.
ARO:3000393	glycopeptide biosynthesis	Synthesis of glycopeptide antibiotics.
ARO:3000394	Actinoplanes teichomyceticus teicoplanin gene cluster	Biosynthesis of teicoplanin by Actinoplanes teichomyceticus
ARO:3000408	determinant of sulfonamide resistance	Enzymes, other proteins or other gene products shown clinically to confer resistance to sulfonamide antibiotics.
ARO:3000410	sul1	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
ARO:3000412	sul2	Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria, usually found on small plasmids.
ARO:3000413	sul3	Sul3 is a sulfonamide resistant dihydropteroate synthase similar to Sul1 and Sul2. Its resistance gene was found encoded in E. coli plasmid DNA of sulfonamide resistant isolates.
ARO:3000419	quinolone resistance protein (qnr)	Qnr proteins are pentapeptide repeat proteins that mimic DNA and protect the cell from the activity of fluoroquinolone antibiotics
ARO:3000421	norB	NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB, and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA, also known as NorR.
ARO:3000423	FomA	In the presence of ATP and magnesium (II), fosfomycin gets phosphorylated at the phosphate group resulting in a diphosphate group which inactivates the antibiotic.
ARO:3000443	rifampin glycosyltransferase	The enzymatic inactivation of rifampin by glycosylation at the 23-OH position.
ARO:3000444	rphA	The enzymatic inactivation of rifampin by phosphorylation at the 21-OH position.
ARO:3000445	rifampin monooxygenase	Enzyme responsible for the decolorization of rifampin by monoxygenation.
ARO:3000446	antibiotic resistant isoleucyl-tRNA synthetase (ileS)	Mupirocin inhibits protein synthesis by interfering with isoleucyl-tRNA synthetase (ileS).  Mutations in ileS can confer low-level mupirocin resistance.
ARO:3000448	QepA1	QepA1 is a plasmid-mediated efflux pump in E. coli, shown to contribute to fluoroquinolone resistance. It is regulated by sox genes, also known as global stress regulators.
ARO:3000449	FomB	An enzyme which on its own cannot provide fosfomycin resistance, however in conjunction with FomA, it leads to the formation of fosfomycin with three phosphates total, which makes it inactive.
ARO:3000450	hydroxylation of antibiotic conferring resistance	Inactivation of an antibiotic via introduction a hydroxyl group (-OH).
ARO:3000451	protein(s) and two-component regulatory system modulating antibiotic efflux	Protein(s) and two component regulatory systems that directly or indirectly change rates of antibiotic efflux.
ARO:3000452	fluoroquinolone resistant DNA topoisomerase	Fluoroquinolones inhibit type II and type IV topoisomerases (2 strand breaking enzymes) such as GyrA/GyrB and ParC/ParE. Point mutations in the associated gyrA and parC genes, in particular in the 'quinolone resistance determining region' (QRDR), give rise to resistance to the class.
ARO:3000453	streptogramin vat acetyltransferase	vat (Virginiamycin acetyltransferases) enzymes catalyze the transfer of an acetyl group from acetyl-CoA to the secondary alcohol of streptogramin A compounds, thus inactivating virginiamycin-like antibiotics and conferring resistance to these compounds.
ARO:3000454	polymyxin B	Polymyxin B is mixture of mostly polymyxins B1 and B2, mainly used for resistant gram-negative infections. They are polypeptides with cationic detergent action on cell membranes.
ARO:3000455	streptogramin A biosynthesis	Type A streptogramins are produced by a hybrid NRPS/PKS composed of 8 NRPS modules and 2 PKS modules.
ARO:3000456	thiamphenicol	Derivative of Chloramphenicol. The nitro group (-NO2) is substituted by a sulfomethyl group (-SO2CH3).
ARO:3000457	aminocoumarin resistant parE	ParE is a subunit of topoisomerase IV, which decatenates and relaxes DNA to allow access to genes for transcription or translation. Point mutations in ParE prevent anticoumarin antibiotics from inhibiting DNA synthesis, thus conferring resistance.
ARO:3000458	macrolide glycosyltransferase	Macrolide glycosyltransferases are enzymes encoded by macrolide glycosyltransferase genes and inactivate macrolides by glycosylating them at 2'-OH of desosamine sugar moiety. They are predominantly found in macrolide producers and are also found in non-producers and are used as a resistance mechanism. Different variants of this enzyme has been reported.
ARO:3000459	fosfomycin biosynthesis	Biosynthesis of fosfomycin.
ARO:3000461	florfenicol	Florfenicol is a fluorine derivative of chloramphenicol, where the nitro group (-NO2) is substituted by a sulfomethyl group (-SO2CH3) and the hydroxyl group (-OH), by a fluorine group (-F). The action mechanism is the same as chloramphenicol's, where the antibiotic binds to the 23S RNA of the 50S subunit of bacterial ribosomes to inhibit protein synthesis.
ARO:3000462	mgtA	A macrolide glycosyltransferase encoded by the mgtA gene in Streptomyces lividans. This enzyme inactivates macrolides using UDP-glucose as a cofactor. Its optimal substrates are lankamycin, calcomycin, rosaramicin, methymycin, and pikromycin, while interactions with erythomycin, oldeandomycin, azithromycin, and tylosin were weaker. It is inactive against spiramycin and carbomycin. Mechanism first described by Cundliffe, 1992.
ARO:3000463	gimA	A macrolide glycosyltransferase encoded by the gimA gene in Streptomyces ambofaciens, a natural producer of the macrolide antibiotic spiramycin. Chalcomycin, methymycin, tylosin, pikromycin, rosaramicin, oleandomycin, josamycin, and carbomycin are preferred substrates of gimA glycosyltransferase, while erythromycin and spiramycin have notably low binding affinities. GimA may be able to inactivate spiramycin precursors. Described by Gourmelen et al. 1998.
ARO:3000464	Neisseria gonorrhoeae porin PIB (por)	Mutant forms of the porin Por result in reduced permeability to antibiotics, particularly tetracyclines and beta-lactams.
ARO:3000465	ole glycosyltransferase	OleI and OleD are glycosyltransferases found in Streptomyces antibioticus which is a natural producer of antibiotic oleandomycin. OleI glycosylates antibiotic oleandomycin whereas OleD can glycosylate a wide variety of macrolides.
